CollateralID,ChargeHolderID,ChargeOrderID,ChargeTypeID,ChargeTypeValue
97796116,3,2,1,5625.92
56845049,10,3,1,8719.92
60392499,6,3,2,2854.85
70348756,8,1,2,14112.72
5174737,8,3,2,8718.97
90324645,3,1,2,11203.38
32556393,9,2,1,9095.35
19228173,10,3,1,1939.96
90564773,10,1,1,1754.47
75763354,10,1,1,12191.62
14699912,10,3,1,17.24
73300990,5,1,1,17809.35
44590238,8,2,2,4488.08
16446473,3,3,2,18948.42
2128676,8,3,2,17161.77
61960307,6,2,2,16534.55
16935838,1,1,1,16057.13
23393697,3,2,2,3317.26
75143091,1,3,2,18162.97
72593225,10,1,2,11017.15
44032610,1,1,2,4700.91
83966009,8,3,2,3510.88
57769775,7,3,2,1804.08
95413529,9,2,1,11494.28
88031390,1,3,2,19927.98
83740627,7,2,2,10442.95
31777460,7,3,2,10086.13
66048834,1,1,1,13496.46
11568515,10,2,2,14872.97
76719602,8,1,1,2671.91
1627302,2,3,1,6655.97
74301687,4,2,2,1509.12
99297687,4,2,2,1024
15807311,8,1,1,15685.43
49137258,5,1,1,13884.85
70433028,5,3,1,19282.35
98376445,3,2,2,4429.63
10385346,4,2,1,2484.71
96638025,1,3,2,15945.6
88789755,6,2,2,3927.76
10815001,5,1,1,15141.18
26697620,3,2,1,16137.84
85738395,4,2,2,10779.42
35410447,4,1,2,8759.86
33775917,2,1,1,4231.81
70151038,7,3,1,4009.46
35253183,4,1,1,11186.77
57034524,2,1,2,13493.59
56408711,5,2,1,10214.46
36729947,1,1,2,284.61
13884612,2,3,1,6041.57
90888379,9,1,1,13419.62
39652790,10,3,1,2675.74
67437642,7,1,1,9140.5
27813607,8,1,1,3901.73
66099784,7,2,1,19031.8
39706029,6,3,1,3323.21
64870399,2,1,2,2577.7
26650086,4,2,2,19574.47
27178709,2,2,1,660.99
68968505,4,2,2,895.55
80428387,9,1,1,780.54
69595650,2,1,1,19291.15
23258269,8,1,1,2105.32
57105627,7,2,2,6733.38
8491503,2,2,1,9191.76
39416854,8,3,1,12726.72
54063943,8,1,1,10366.05
62737647,3,1,1,4959.37
90498361,9,3,2,18790.66
9089979,5,3,2,17293.67
54306854,1,2,1,12152.55
1340804,4,2,2,14848.61
92495650,2,2,1,5805.52
83555600,3,1,1,15005.27
76680063,3,1,2,7837.36
44133727,7,1,1,9030.58
22054179,6,1,2,15386.76
70673611,8,1,2,16040.29
24851514,4,1,2,10368.04
14591908,2,1,1,2618.41
33465259,5,1,2,9473.76
49661651,5,2,1,2739.04
15366900,5,3,2,17095.51
62477580,10,3,2,1568.97
55934040,3,2,1,406.4
6650195,4,3,2,18192.46
52458060,5,2,2,12273.5
91410440,9,3,1,13329.37
95250235,6,3,1,10571.84
42151733,4,2,2,2977.98
43271215,2,3,1,12002.81
72420425,8,3,2,13357.57
23317567,3,3,1,7213.05
86909364,7,2,2,2017.5
71278551,1,1,2,607.6
75876172,5,1,1,15527.55
66975006,6,1,1,13350.39
78466859,9,3,2,16657.33
57354273,10,2,1,18032.99
55963337,8,3,1,15852.61
44373722,3,1,2,7668.51
83999268,1,3,1,18001.54
21764040,1,1,1,9156.16
27629375,3,2,2,16330.93
71043762,6,2,1,7162.6
73059622,4,1,2,7688.19
50313332,10,3,1,9163.91
53677049,3,1,1,12184.88
43161558,2,3,1,7748.07
4485507,1,2,2,6946.26
17297851,10,3,2,876.92
70032263,6,1,2,4254.56
26801106,7,3,1,15761.17
70354699,2,2,1,6519.71
17579091,8,1,2,5399.49
63067406,7,3,2,4176.79
31365883,4,2,1,10441.47
21126080,4,1,2,10208.34
69336218,1,3,2,17126.88
99725933,1,2,2,2867.86
80046985,1,3,1,2149.48
33500514,3,3,2,9046.04
45641656,8,3,2,4724.54
53062853,10,3,1,2528.5
27858938,9,1,2,12337.02
31227079,1,2,1,9036.38
2857312,9,2,2,14669.72
39001913,4,3,1,10776.79
33585374,7,2,1,13936.77
68303896,1,3,2,15893.57
11648468,7,3,2,1673.13
26321987,5,1,1,10961.69
60820165,4,3,2,19663.13
76719772,2,2,1,18031.01
23801201,7,1,2,12097.84
