Id,CollateralID,ChargeHolderID,ChargeOrderID,ChargeTypeID,ChargeValue,ChangeType,CreatedDate,LastModifiedDate
kz74480651156880,xyh97864279,21,1,1,893,CREATE,11/02/2011 06:54,14/01/2014 01:23
tz27959492658451,xyh97864279,21,2,2,65113,CREATE,06/03/2010 11:09,10/10/2015 04:53
kw19145770966180,xyh97864279,14,3,3,42515,UPDATE,03/05/2015 08:50,07/11/2014 11:33
br00154747098110,yes44790638,1,1,2,18202,CREATE,19/04/2014 09:23,25/04/2014 08:25
ev82388947923591,jgb24865261,7,2,1,1139,UPDATE,10/08/2010 10:30,03/03/2015 06:23
av10538351017630,jfz77335332,9,2,2,1182,UPDATE,03/04/2012 07:02,16/11/2015 10:39
zm09131919439366,umo05311479,19,3,2,9362,UPDATE,27/11/2011 06:24,22/04/2012 06:58
cm38352078830587,svk57681306,15,1,1,1944,CREATE,12/03/2010 11:15,27/11/2014 08:23
nk80234873517924,pda29053017,13,3,1,7257,UPDATE,17/08/2012 09:50,05/09/2013 12:36
it46835680152013,lsl04482576,16,1,1,5813,CREATE,15/10/2012 02:50,22/12/2015 10:47
qw62649167454120,nlt43010836,13,1,3,4410,UPDATE,06/11/2012 07:10,21/07/2015 12:41
xc74844946791244,fiy66625223,6,1,2,5380,UPDATE,05/03/2011 10:08,23/08/2013 12:51
dt26911474454288,wqq17585158,1,3,2,920,CREATE,08/07/2011 03:23,23/06/2013 08:05
ra74442950331261,wqq17585158,3,2,2,3756,UPDATE,09/09/2014 06:21,11/04/2016 06:33
hs51070501084524,wqq17585158,19,1,1,6002,UPDATE,07/05/2012 06:02,12/04/2012 04:36
et42370293798116,jot33482509,15,3,3,96137,UPDATE,05/02/2015 06:13,19/03/2017 02:30
gz02221262416676,kdu07860522,17,1,1,5935,CREATE,13/07/2010 09:11,29/10/2014 06:15
zv84034180686627,xvu48403465,4,2,1,519,CREATE,08/02/2011 06:38,11/08/2014 07:25
uw51836315887437,sym92132912,5,1,3,4,CREATE,23/10/2012 01:04,20/01/2013 07:04
pm58692465497091,kwv92780943,3,3,1,40413,CREATE,21/01/2011 10:04,15/03/2013 04:13
os62928526329825,mgc26357538,2,1,1,69566,UPDATE,02/02/2012 04:10,06/07/2013 10:17
fs17719069664507,ldd88238028,3,3,2,69219,UPDATE,20/10/2013 12:22,10/08/2015 03:54
mh29348185938836,wul26415963,8,2,1,62688,CREATE,13/01/2014 04:13,09/11/2015 05:10
ut06273236931126,ena68278476,6,1,3,4599,CREATE,07/12/2014 11:12,04/08/2014 06:31
ii96292954847445,ena68278476,14,2,2,50665,CREATE,05/03/2011 02:13,18/05/2013 12:13
qx57007321132406,vbt86482977,7,3,1,4403,UPDATE,11/04/2015 02:11,26/10/2012 06:56
qs52041077778151,rwa59876868,8,3,2,83202,UPDATE,27/11/2011 06:51,28/09/2016 04:24
oo18452819364147,mqn33062244,2,1,3,3082,CREATE,20/03/2010 06:00,29/01/2017 03:29
ps09851790356962,foj42617544,10,2,3,9759,UPDATE,11/07/2012 12:55,19/06/2016 02:42
nj23680877941313,vne09447779,14,2,1,72973,CREATE,12/04/2010 04:23,03/02/2013 07:27
bk16659771738154,sdn54950955,4,2,3,2554,UPDATE,28/12/2010 11:15,05/08/2012 01:23
oc25463520775235,ekg91044811,10,1,1,16968,CREATE,02/07/2011 05:20,27/08/2014 09:04
