Id,CollateralID,Indexation,Valuation_Currency,Valuation_Date,gross_value,DiscountedValue,is_primary,ChangeType,CreatedDate,LastModifiedDate
ziput05868,xyh97864279,False,GBP,2012-06-20,848274.00,462555.00 ,True,CREATE,2010-04-24 03:53:19,2016-07-12 03:00:43
alytx61400,uqo39330808,False,USD,2012-02-25,86649845.00,963938.00,False,UPDATE,2013-04-22 10:16:03,2015-04-01 11:15:56
mbipq40277,jsw36161049,True,GBP,2010-03-07,849351.00,83619865.00,True,UPDATE,2011-08-26 03:03:33,2016-10-15 12:56:49
jwtxu09982,yes44790638,False,GBP,2010-12-16,5357223.00,46255558.00,True,CREATE,2013-02-09 04:36:43,2014-12-26 09:51:16
ftvdo09139,jgb24865261,True,GBP,2014-10-22,7019068.00,707692.00,True,CREATE,2012-05-18 03:48:43,2013-12-28 08:46:23
zinmu06983,jfz77335332,True,USD,2012-01-01,5703794.00,21483322.00,False,CREATE,2012-03-14 05:32:07,2014-08-24 02:33:46
oduir97971,umo05311479,True,USD,2011-02-13,95874650.00,46251719.00,True,UPDATE,2011-10-05 12:27:16,2014-12-12 02:19:41
uuxbx12345,svk57681306,True,GBP,2011-02-12,762932.00,8221991.00,False,CREATE,2013-09-12 05:42:02,2017-01-17 11:57:04
njigl80297,pda29053017,True,GBP,2015-01-13,81814634.00,9646893.00,True,CREATE,2011-08-15 09:04:31,2014-08-08 02:46:57
stlmo94052,lsl04482576,False,GBP,2011-11-28,717845.00,72240915.00,False,CREATE,2012-11-02 12:10:55,2012-06-07 08:28:40
yqwrw08286,nlt43010836,False,GBP,2011-05-04,247835.00,144386.00,True,UPDATE,2011-03-01 12:06:35,2013-12-09 04:20:05
jsdot51776,fiy66625223,True,GBP,2011-05-27,972211.00,57807055.00,True,UPDATE,2010-06-08 12:48:31,2014-11-29 03:44:07
dlzsc20554,wqq17585158,False,GBP,2012-05-25,9387624.00,63688088.00,False,UPDATE,2010-01-19 03:45:47,2013-01-28 05:23:48
nujhv20806,bgz79130353,True,GBP,2011-11-05,41487342.00,13995003.00,False,UPDATE,2015-01-12 02:38:49,2012-08-31 03:31:14
sowaw78440,xcq64619451,False,USD,2012-11-28,484229.00,5297339.00,False,CREATE,2013-05-22 01:04:01,2015-05-14 03:04:32
kwotp57375,jot33482509,True,USD,2013-12-09,33764097.00,515566.00,True,UPDATE,2012-04-10 12:51:02,2013-05-20 02:44:02
fhllo62811,kdu07860522,False,USD,2012-07-30,520263.23,356206.00,True,CREATE,2015-01-30 10:43:40,2014-12-29 05:32:52
dhonq20660,xvu48403465,False,USD,2011-01-31,404334.00,37628677.00,False,CREATE,2013-07-21 03:07:10,2016-11-17 06:32:31
wmyrv14100,sym92132912,True,GBP,2012-07-16,6715592.00,9232789.00,False,UPDATE,2013-03-21 03:34:43,2015-02-23 09:01:24
xjwjc26322,kwv92780943,False,USD,2013-08-03,453910.00,497701.00,False,CREATE,2010-04-09 10:16:29,2015-09-23 12:03:31
fkndx07262,mgc26357538,True,GBP,2010-07-23,5084693.00,857718.00,True,CREATE,2011-02-02 12:37:41,2015-10-25 09:25:46
qfade31858,ldd88238028,False,USD,2011-08-17,86610961.00,895799.00,False,CREATE,2014-04-26 04:21:33,2012-05-25 10:11:47
pvvfz23100,wul26415963,False,GBP,2013-06-15,79515057.00,694766.00,False,CREATE,2011-09-19 12:47:16,2017-01-02 11:24:54
xzxgu05864,ena68278476,False,GBP,2014-01-11,931354.00,9077149.00,False,CREATE,2014-05-03 08:33:56,2014-07-06 07:08:43
